,Total Elected,Active,All ProDem,Active ProDem,ProBJ,Inactive,Resign
,4394,4837,3454,,,2834,2637
,4460,4406,4433,,,3857,3832
,2882,4440,5364,,,4279,4013
,4396,3101,2982,,,5486,2377
,6098,4732,5123,,,3839,1838
,4372,3894,3687,,,4698,3391
,3822,5453,3993,,,4730,3172
,4854,4198,4332,,,3784,1780
,3451,4313,4751,,,5590,3530
,4518,2611,4490,,,5534,3347
,4608,3019,3825,,,3476,3513
,4087,3929,4480,,,2637,3882
,3838,4744,2997,,,3832,3955
,4221,5343,3070,,,4013,3416
,5010,5953,6450,,,2377,3809
,5764,6824,5638,,,1838,4325
,5862,4419,4203,,,3391,5100
,4709,1923,5470,,,3172,4329
,5559,3532,4070,,,1780,4446
,2976,4396,2969,,,3530,5314
,3335,2449,2612,,,3347,5939
,3501,2902,2856,,,3513,2735
,4055,3456,3628,,,3882,3944
,3523,3101,3231,,,3955,3378
,2863,4365,3522,,,4371,4295
,3454,3427,3962,,,3416,4470
,4433,3531,3940,,,3809,3630
,5364,4662,1964,,,4325,4513
,2982,3759,2788,,,6004,2466
,2882,2873,3261,,,5100,4454
,3694,5997,5113,,,4329,4279
,5123,5376,4718,,,4446,6028
,4200,5049,2797,,,5314,4670
,3687,1332,3887,,,5939,3768
,2901,1499,4498,,,2735,4435
,3993,1003,3677,,,3944,6657
,4176,,3538,,,3378,3302
,3499,,3409,,,4295,2550
,3977,,3489,,,3926,2805
,4332,,5098,,,4470,2127
,4514,,4444,,,3630,4724
,4751,,2857,,,4513,5414
,4080,,4129,,,2466,3199
,4490,,5214,,,4454,2099
,3825,,4161,,,4279,4121
,4480,,5798,,,6028,4948
,2997,,4204,,,4670,4722
,2857,,5769,,,3768,4037
,3070,,3954,,,4435,4599
,3853,,4074,,,6657,3928
,6450,,4662,,,3302,4265
,5638,,4780,,,2550,5420
,4203,,3815,,,2805,3346
,5470,,3276,,,2127,5122
,4070,,1648,,,4724,4321
,2969,,2834,,,5414,6421
,2612,,3857,,,3199,5280
,2856,,4419,,,2099,4212
,3628,,3934,,,4121,4552
,3231,,3724,,,4948,3101
,3522,,4279,,,4722,3869
,3247,,5486,,,4037,3399
,3962,,3839,,,4599,4854
,3940,,4410,,,5629,4054
,1964,,4698,,,3928,3550
,2788,,4073,,,3755,4665
,3261,,4254,,,4265,4167
,5113,,4730,,,5420,5816
,4718,,3784,,,3346,4775
,2797,,3797,,,3283,5157
,3887,,5590,,,5122,4691
,4498,,5534,,,4321,4280
,2871,,3476,,,6421,3333
,3677,,2637,,,5280,3982
,3538,,3832,,,4212,3102
,3409,,3177,,,4552,4980
,3489,,4013,,,3101,3118
,5098,,3799,,,3869,4463
,4444,,3727,,,3399,4240
,2857,,4382,,,4854,3585
,2684,,2377,,,4054,4780
,4129,,1838,,,3550,3613
,5214,,3391,,,4665,3297
,4161,,3172,,,4167,2836
,5798,,1780,,,5816,5642
,4204,,2479,,,4775,5194
,5769,,3530,,,5157,4727
,3954,,3347,,,4691,4274
,4074,,3513,,,4280,4575
,4662,,4027,,,3333,5061
,4780,,4238,,,3982,3711
,2893,,3882,,,3102,2708
,3815,,4605,,,4980,2072
,3276,,3955,,,3118,5142
,1648,,3659,,,4463,5541
,2834,,3249,,,4240,
,3857,,4371,,,4891,
,4419,,3416,,,3585,
,3934,,3809,,,4780,
,3724,,4325,,,4766,
,4279,,4454,,,3469,
,5486,,6004,,,3613,
,3839,,5100,,,3297,
,4410,,4329,,,2836,
,4698,,2569,,,5642,
,4073,,4491,,,5194,
,4254,,2761,,,4727,
,2562,,4446,,,4274,
,4730,,5288,,,4575,
,3784,,5314,,,5061,
,2203,,5939,,,3711,
,3797,,2735,,,2708,
,5590,,3944,,,2072,
,5534,,3378,,,5142,
,3476,,4295,,,,
,2637,,3926,,,,
,3832,,4470,,,,
,3177,,3630,,,,
,4013,,4513,,,,
,3799,,2969,,,,
,3727,,2466,,,,
,4382,,4454,,,,
,2377,,4279,,,,
,1896,,3693,,,,
,1838,,3435,,,,
,3391,,6028,,,,
,3172,,4670,,,,
,1780,,3768,,,,
,2937,,4266,,,,
,2479,,3346,,,,
,3530,,5541,,,,
,3347,,4435,,,,
,3513,,3605,,,,
,4027,,6657,,,,
,4238,,4370,,,,
,3882,,5383,,,,
,4605,,3302,,,,
,3955,,3583,,,,
,3659,,2730,,,,
,3249,,2550,,,,
,4371,,2805,,,,
,3416,,2127,,,,
,3809,,1850,,,,
,4325,,3089,,,,
,4454,,4724,,,,
,6004,,5414,,,,
,5100,,3199,,,,
,2221,,2099,,,,
,4329,,4121,,,,
,2257,,4948,,,,
,2569,,4722,,,,
,1848,,5585,,,,
,3799,,5240,,,,
,4491,,4037,,,,
,2761,,4222,,,,
,4446,,4599,,,,
,5288,,5629,,,,
,5314,,3928,,,,
,5939,,3755,,,,
,2735,,4265,,,,
,3181,,5244,,,,
,3944,,4743,,,,
,3378,,5420,,,,
,3371,,5524,,,,
,4295,,3346,,,,
,3926,,4960,,,,
,4470,,3283,,,,
,3630,,4837,,,,
,3143,,5122,,,,
,4513,,4406,,,,
,2969,,4440,,,,
,2466,,4321,,,,
,4454,,6421,,,,
,4279,,3101,,,,
,3693,,5280,,,,
,3435,,4732,,,,
,6028,,4212,,,,
,4670,,4552,,,,
,3768,,3101,,,,
,4266,,3894,,,,
,3346,,3869,,,,
,5541,,5453,,,,
,4435,,3399,,,,
,3605,,4854,,,,
,6657,,4198,,,,
,4370,,4313,,,,
,5383,,4054,,,,
,3302,,3550,,,,
,3583,,2611,,,,
,2730,,3019,,,,
,2550,,4665,,,,
,2805,,3929,,,,
,2127,,4744,,,,
,1850,,4167,,,,
,3089,,5343,,,,
,4724,,5816,,,,
,5414,,4775,,,,
,2568,,5953,,,,
,3199,,6824,,,,
,2099,,5157,,,,
,4121,,4419,,,,
,4948,,4691,,,,
,4722,,4280,,,,
,5585,,3333,,,,
,5240,,3982,,,,
,4037,,3532,,,,
,4222,,3102,,,,
,4599,,4980,,,,
,5629,,3118,,,,
,3928,,4463,,,,
,3755,,4240,,,,
,4265,,4396,,,,
,5244,,4891,,,,
,4743,,2902,,,,
,5420,,3585,,,,
,5524,,3456,,,,
,3346,,4780,,,,
,2998,,4766,,,,
,3577,,3101,,,,
,4960,,3469,,,,
,3283,,3613,,,,
,4837,,3297,,,,
,5122,,2836,,,,
,4406,,4365,,,,
,4440,,5642,,,,
,4321,,5194,,,,
,6421,,4727,,,,
,3101,,4274,,,,
,5280,,4575,,,,
,4732,,4662,,,,
,4212,,5061,,,,
,4552,,3711,,,,
,3101,,5997,,,,
,3894,,5376,,,,
,3869,,5049,,,,
,5453,,2708,,,,
,3399,,1332,,,,
,4854,,2072,,,,
,4198,,5142,,,,
,4313,,,,,,
,4054,,,,,,
,3550,,,,,,
,2611,,,,,,
,3019,,,,,,
,4665,,,,,,
,3929,,,,,,
,4744,,,,,,
,4167,,,,,,
,5343,,,,,,
,5816,,,,,,
,4775,,,,,,
,5953,,,,,,
,6824,,,,,,
,5157,,,,,,
,4419,,,,,,
,4691,,,,,,
,1923,,,,,,
,4280,,,,,,
,3333,,,,,,
,3982,,,,,,
,3532,,,,,,
,3102,,,,,,
,4980,,,,,,
,3118,,,,,,
,4463,,,,,,
,4240,,,,,,
,4396,,,,,,
,4891,,,,,,
,2449,,,,,,
,2902,,,,,,
,3585,,,,,,
,3456,,,,,,
,4780,,,,,,
,4766,,,,,,
,3101,,,,,,
,3469,,,,,,
,3613,,,,,,
,3297,,,,,,
,2836,,,,,,
,4365,,,,,,
,5642,,,,,,
,5194,,,,,,
,4727,,,,,,
,4274,,,,,,
,4575,,,,,,
,3427,,,,,,
,3531,,,,,,
,4662,,,,,,
,3759,,,,,,
,5061,,,,,,
,3711,,,,,,
,2873,,,,,,
,5997,,,,,,
,5376,,,,,,
,5049,,,,,,
,2708,,,,,,
,1332,,,,,,
,2072,,,,,,
,1499,,,,,,
,1003,,,,,,
,5142,,,,,,
